Case ID,Events,Variant,Variant index,Started,Finished,Duration,Duration (milliseconds),amount,case_len,country,cpv,cpv_division,electronic,framework_agr,t_type
2017315026,6,Variant 1,1,07.08.2017 00:00:00,31.12.2051 00:00:00,"34 years, 154 days",1085533200000,13760000.0,5,IT,63720000,63,N,N,S
2020607406,6,Variant 1,1,11.12.2020 00:00:00,31.12.2045 00:00:00,"25 years, 26 days",790646400000,4098360.66,5,IT,92610000,92,N,N,S
2018478982,6,Variant 1,1,25.10.2018 00:00:00,31.12.2041 00:00:00,"23 years, 73 days",731638800000,12752411.76,5,IT,66113000,66,N,N,S
201864062,6,Variant 1,1,08.02.2018 00:00:00,13.10.2040 00:00:00,"22 years, 252 days",715647600000,1350000.0,5,IT,55220000,55,N,N,S
2016382239,5,Variant 4,4,24.10.2016 00:00:00,31.12.2037 00:00:00,"21 years, 73 days",668566800000,2313500.0,5,IT,85149000,85,,N,S
2018240642,5,Variant 5,5,31.05.2018 00:00:00,31.08.2038 00:00:00,"20 years, 97 days",639100800000,36551157.0,5,IT,85149000,85,,N,S
2019435097,4,Variant 12,12,12.09.2019 00:00:00,31.12.2036 00:00:00,"17 years, 115 days",546051600000,9146743.0,3,IT,65410000,65,N,N,W
2019546073,3,Variant 73,73,14.11.2019 00:00:00,31.12.2036 00:00:00,"17 years, 52 days",540604800000,8869039.0,3,IT,45251250,45,N,N,W
2018451473,6,Variant 1,1,12.10.2018 00:00:00,30.08.2034 00:00:00,"15 years, 326 days",501206400000,5065890.0,5,IT,92610000,92,N,N,S
2019187196,6,Variant 2,2,17.04.2019 00:00:00,30.09.2034 00:00:00,"15 years, 170 days",487728000000,,5,IT,55524000,55,N,N,S
2021150832,5,Variant 3,3,23.03.2021 00:00:00,31.08.2036 00:00:00,"15 years, 164 days",487292400000,8542200.0,4,IT,92610000,92,N,N,S
2017313535,5,Variant 4,4,04.08.2017 00:00:00,31.12.2032 00:00:00,"15 years, 153 days",486262800000,20000000.0,5,IT,55130000,55,,N,S
2017223388,6,Variant 1,1,08.06.2017 00:00:00,30.08.2032 00:00:00,"15 years, 87 days",480556800000,5992170.45,5,IT,71314200,71,N,N,S
2020491849,5,Variant 5,5,13.10.2020 00:00:00,31.12.2035 00:00:00,"15 years, 82 days",480128400000,8578520.0,5,IT,92610000,92,,N,S
2019603104,5,Variant 3,3,16.12.2019 00:00:00,15.10.2034 00:00:00,"14 years, 306 days",468025200000,1972427.03,4,IT,92610000,92,Y,N,S
2017488198,5,Variant 3,3,05.12.2017 00:00:00,31.03.2030 00:00:00,"12 years, 119 days",388713600000,1908000.0,4,IT,73210000,73,N,N,S
2017509905,4,Variant 12,12,18.12.2017 00:00:00,31.12.2029 00:00:00,"12 years, 16 days",379814400000,1074552.65,3,IT,66122000,66,N,N,S
2019284891,6,Variant 1,1,17.06.2019 00:00:00,31.12.2029 00:00:00,"10 years, 200 days",332643600000,400000.0,5,IT,66600000,66,N,N,S
